,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge,ConsommeGaz
0,1,2016,NonResidential,Hotel,Mayflower park hotel,405 Olive way,Seattle,WA,98101.0,0659000030,7,DOWNTOWN,47.6122,-122.33799,1.0,12,88434,0,88434,Hotel,Hotel,88434.0,,,60.0,81.69999695,84.30000305,182.5,189.0,7226362.5,7456910.0,2003882.0,1156514.25,3946027.0,12764.5293,1276453.0,False,Compliant,249.98,2.83,89,1
1,2,2016,NonResidential,Hotel,Paramount Hotel,724 Pine street,Seattle,WA,98101.0,0659000220,7,DOWNTOWN,47.61317,-122.33393,1.0,11,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,61.0,94.80000305,97.90000153,176.1000061,179.3999939,8387933.0,8664479.0,0.0,950425.1875,3242851.0,51450.81641,5145082.0,False,Compliant,295.86,2.86,20,1
2,3,2016,NonResidential,Hotel,5673-The Westin Seattle,1900 5th Avenue,Seattle,WA,98101.0,0659000475,7,DOWNTOWN,47.61393,-122.3381,1.0,41,956110,196718,759392,Hotel,Hotel,756493.0,,,43.0,96.0,97.69999695,241.8999939,244.1000061,72587024.0,73937112.0,21566554.0,14515435.0,49526664.0,14938.0,1493800.0,False,Compliant,2089.28,2.19,47,1
3,5,2016,NonResidential,Hotel,HOTEL MAX,620 STEWART ST,Seattle,WA,98101.0,0659000640,7,DOWNTOWN,47.61412,-122.33664,1.0,10,61320,0,61320,Hotel,Hotel,61320.0,,,56.0,110.8000031,113.3000031,216.1999969,224.0,6794584.0,6946800.5,2214446.25,811525.3125,2768924.0,18112.13086,1811213.0,False,Compliant,286.43,4.67,90,1
4,8,2016,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),401 LENORA ST,Seattle,WA,98121.0,0659000970,7,DOWNTOWN,47.61375,-122.34047,1.0,18,175580,62000,113580,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,75.0,114.8000031,118.6999969,211.3999939,215.6000061,14172606.0,14656503.0,0.0,1573448.625,5368607.0,88039.98438,8803998.0,False,Compliant,505.01,2.88,36,1
6,10,2016,NonResidential,Hotel,Camlin,1619 9th Avenue,Seattle,WA,98101.0,0660000825,7,DOWNTOWN,47.6139,-122.33283,1.0,11,83008,0,83008,Hotel,Hotel,81352.0,,,27.0,70.80000305,74.5,146.6000061,154.6999969,5758795.0,6062767.5,0.0,823919.875,2811215.0,29475.80078,2947580.0,False,Compliant,176.14,2.12,90,1
8,12,2016,NonResidential,Hotel,311wh-Pioneer Square,612 2nd Ave,Seattle,WA,98104.0,0939000080,7,DOWNTOWN,47.60294,-122.33263,1.0,15,163984,0,163984,Hotel,Hotel,163984.0,,,43.0,83.69999695,86.59999847,180.8999939,187.1999969,13723820.0,14194054.0,0.0,2138897.75,7297919.0,64259.0,6425900.0,False,Compliant,392.16,2.39,112,1
10,15,2016,NonResidential,Hotel,Hotel Monaco Seattle,1101 4th Avenue,Seattle,WA,98101.0,0942000145,7,DOWNTOWN,47.60695,-122.33414,1.0,11,153163,19279,133884,Hotel,Hotel,133884.0,,,30.0,119.5999985,124.3000031,228.1999969,233.0,16016644.0,16646930.0,5237165.5,1813489.875,6187627.0,45918.5,4591850.0,False,Compliant,691.26,4.51,47,1
11,16,2016,NonResidential,Hotel,5679-W Seattle,1112 Fourth Avenue,Seattle,WA,98101.0,0942000165,7,DOWNTOWN,47.60713,-122.33323,1.0,25,333176,61161,272015,Hotel,Hotel,336640.0,,,36.0,80.0,80.40000153,199.0,199.3999939,26941110.0,27070114.0,5999360.5,5299838.5,18083049.0,28586.99805,2858700.0,False,Compliant,740.97,2.22,18,1
12,17,2016,NonResidential,Hotel,Executive Pacific Plaza,400 Spring Street,Seattle,WA,98104.0,0942000210,7,DOWNTOWN,47.60699,-122.33346,1.0,9,65009,0,65009,Hotel,Hotel,65009.0,,,48.0,101.5,97.80000305,153.6000061,149.8000031,6596057.5,6358719.5,1656352.5,393610.6875,1343000.0,35967.05078,3596705.0,False,Compliant,328.23,5.05,88,1
13,18,2016,NonResidential,Hotel,Crowne Plaza Hotel Seattle,1113 6th Ave,Seattle,WA,98101.0,0942000235,7,DOWNTOWN,47.60809,-122.33212,1.0,33,315952,57600,258352,"Hotel, Parking",Hotel,295511.0,Parking,57600.0,58.0,75.5,76.19999695,179.8999939,180.6999969,22325364.0,22524948.0,4337738.5,4075083.0,13904183.0,40834.39844,4083440.0,False,Compliant,648.62,2.05,36,1
14,19,2016,NonResidential,Hotel,Hotel Vintage Seattle,1100 5th Avenue,Seattle,WA,98101.0,0942000265,7,DOWNTOWN,47.60755,-122.33244,1.0,11,92190,25200,66990,"Hotel, Parking",Hotel,67390.0,Parking,25200.0,35.0,159.5,165.8999939,297.3999939,303.8999939,10750010.0,11179203.0,4870847.5,1123203.125,3832369.0,20467.93359,2046793.0,False,Compliant,511.39,5.55,94,1
17,23,2016,NonResidential,Hotel,Renaissance Seattle Hotel,515 Madison Street,Seattle,WA,98104.0,0942000430,7,DOWNTOWN,47.60681,-122.33078,1.0,28,416281,85000,331281,"Hotel, Parking",Hotel,348329.0,Parking,85000.0,31.0,96.30000305,98.59999847,228.5,232.8000031,33556756.0,34351920.0,0.0,6220773.0,21225277.0,123314.75,12331475.0,False,Compliant,802.89,1.93,33,1
19,25,2016,NonResidential,Hotel,Arctic Club Seattle,700 3rd Ave,Seattle,WA,98104.0,0942000610,7,DOWNTOWN,47.60376,-122.33194,1.0,10,104352,0,104352,Hotel,Hotel,104352.0,,,39.0,97.30000305,97.30000305,225.5,225.5,10154608.0,10154608.0,3430862.0,1731644.125,5908370.0,8153.759766,815376.0,False,Compliant,349.32,3.35,100,1
20,26,2016,NonResidential,Other,King County Courthouse,516 3RD AVE,Seattle,WA,98104.0,0942000860,7,DOWNTOWN,47.60265,-122.33051,1.0,10,540360,0,540360,Courthouse,Courthouse,537150.0,,,76.0,83.69999695,87.5,182.6999969,186.6999969,44984468.0,47023088.0,0.0,7138872.5,24357833.0,206266.3125,20626631.0,False,Compliant,1265.29,2.34,100,1
22,28,2016,SPS-District K-12,K-12 School,Graham Hill Elementary,5149 S. Graham St.,Seattle,WA,98118.0,1102000138,2,SOUTHEAST,47.54576,-122.26853,1.0,2,56228,0,56228,K-12 School,K-12 School,58916.0,,,95.0,26.10000038,29.10000038,60.70000076,64.59999847,1539478.5,1713623.5,0.0,274605.9063,936955.0,6025.229004,602523.0,True,Error - Correct Default Data,38.53,0.69,55,1
23,29,2016,NonResidential,Hotel,WATERTOWN HOTEL,4242 ROOSEVELT WAY NE,Seattle,WA,98105.0,1142000755,4,NORTHEAST,47.65959,-122.31755,1.0,6,88592,30586,58006,"Hotel, Parking",Hotel,58006.0,Parking,30586.0,84.0,63.20000076,63.29999924,148.0,148.5,3663534.5,3673186.75,0.0,664194.375,2266231.0,13973.03027,1397303.0,False,Compliant,90.01,1.02,15,1
27,33,2016,NonResidential,Hotel,Marriott Springhill Suites (33),1800 Yale Ave,Seattle,WA,98101.0,0660002680,7,DOWNTOWN,47.61784,-122.32966,1.0,10,171866,38281,133585,Hotel,Hotel,128909.0,,,57.0,85.80000305,86.69999695,181.1000061,180.6000061,11061916.0,11171407.0,0.0,1644403.75,5610706.0,54512.09766,5451210.0,False,Compliant,328.63,1.91,15,1
29,35,2016,NonResidential,Hotel,Hotel Five,2200 5th ave,Seattle,WA,98121.0,0697000170,7,DOWNTOWN,47.61558,-122.34186,1.0,5,68410,16200,52210,Hotel,Hotel,47994.0,,,57.0,92.90000153,95.0,199.6999969,206.3000031,4456714.5,4557974.0,0.0,687675.625,2346349.0,21103.65039,2110365.0,False,Compliant,128.44,1.88,38,1
30,36,2016,SPS-District K-12,K-12 School,Jane Addams Middle,11051 34th Ave. N.E.,Seattle,WA,98125.0,0752000170,5,NORTH,47.70994,-122.29301,1.0,2,160645,0,160645,K-12 School,K-12 School,164229.0,,,75.0,41.29999924,47.5,68.09999847,75.69999695,6779173.0,7800349.5,0.0,570809.1875,1947601.0,48315.71875,4831572.0,True,Error - Correct Default Data,270.18,1.68,67,1
33,40,2016,NonResidential,Hotel,Silver Cloud University,5036 25th Ave NE,Seattle,WA,98105.0,0925049117,4,NORTHEAST,47.66583,-122.29965,1.0,4,81871,0,81871,Hotel,Hotel,81871.0,,,29.0,81.5,82.19999695,162.5,164.8999939,6668568.5,6731281.5,0.0,884056.0,3016399.0,36521.69141,3652169.0,False,Compliant,215.0,2.63,22,1
35,43,2016,Campus,Mixed Use Property,Plant 2 Site,7755 E MARGINAL WAY S,Seattle,WA,98108.0,0022000005,2,GREATER DUWAMISH,47.53493,-122.31788,1.0,3,494835,0,494835,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",Office,757027.0,Laboratory,639931.0,8.0,221.6999969,233.1000061,388.2000122,400.2999878,448385312.0,471613856.0,0.0,44102076.0,150476283.0,2979090.0,297909000.0,False,Compliant,16870.98,34.09,24,1
37,50,2016,SPS-District K-12,K-12 School,Lawton Elementary,4000 27th Ave. W.,Seattle,WA,98199.0,0369000400,7,MAGNOLIA / QUEEN ANNE,47.65671,-122.39047,1.0,2,54986,0,54986,K-12 School,K-12 School,54986.0,,,97.0,30.0,32.79999924,77.80000305,83.19999695,1650279.25,1802471.375,0.0,356855.0,1217589.0,4326.897461,432690.0,False,Compliant,31.47,0.57,26,1
38,51,2016,SPS-District K-12,K-12 School,Eckstein Middle,3003 N.E. 75th St.,Seattle,WA,98115.0,0425049022,4,NORTHEAST,47.68252,-122.29498,1.0,2,175565,0,175565,K-12 School,K-12 School,182861.0,,,88.0,35.0,40.09999847,55.0,60.40000153,6399127.5,7329817.5,0.0,468840.5,1599684.0,47994.43359,4799443.0,True,Error - Correct Default Data,266.05,1.52,66,1
39,52,2016,NonResidential,Small- and Mid-Sized Office,SBC52,5305 Shilshole Ave NW,Seattle,WA,98107.0,0467000429,6,BALLARD,47.66587,-122.38476,1.0,2,94900,0,94900,"Non-Refrigerated Warehouse, Office",Office,55586.0,Non-Refrigerated Warehouse,39314.0,57.0,65.19999695,68.90000153,163.0,165.8999939,6186461.5,6536359.5,0.0,1257791.75,4291585.0,18948.75977,1894876.0,False,Compliant,130.56,1.38,55,1
40,53,2016,NonResidential,Small- and Mid-Sized Office,El Centro de la Raza,2524 16th Ave S,Seattle,WA,98144.0,0570000340,2,GREATER DUWAMISH,47.58034,-122.31132,1.0,2,52554,0,52554,"Office, Other - Education",Office,51029.0,Other - Education,7849.0,83.0,50.09999847,53.5,108.6999969,112.3000031,2951331.25,3150635.5,0.0,462998.0,1579749.0,13715.82031,1371582.0,False,Compliant,83.86,1.6,116,1
41,54,2016,NonResidential,K-12 School,Blanchet High School,8200 Wallingford Ave. N,Seattle,WA,98103.0,0625049002,6,NORTHWEST,47.68891,-122.33553,1.0,3,175015,0,175015,K-12 School,K-12 School,175015.0,,,95.0,40.0,45.09999847,74.0,80.40000153,6994740.5,7886505.5,0.0,785386.6875,2679739.0,43150.00781,4315001.0,False,Compliant,247.85,1.42,62,1
43,56,2016,NonResidential,Hotel,Seattle Hilton Hotel,1301 Sixth Ave,Seattle,WA,98101.0,1975700040,7,DOWNTOWN,47.60946,-122.33337,1.0,24,332210,205970,126240,Hotel,Hotel,348630.0,,,67.0,46.40000153,46.40000153,121.8000031,121.8000031,16163194.0,16163194.0,0.0,3576906.75,12204406.0,39587.86719,3958787.0,False,Compliant,295.33,0.89,47,1
